anio,municipio_id,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2011.0,6105.0,31.0,39.0,12.0,109.0,9.0,7349.0,6375.0,1617.0,3133.0,2238.0
2012.0,6105.0,31.0,39.0,13.0,108.0,10.0,7290.0,6067.0,1705.0,3164.0,2295.0
2013.0,6105.0,31.0,39.0,13.0,112.0,10.0,7140.0,6295.0,1718.0,3217.0,2209.0
2014.0,6105.0,31.0,39.0,13.0,110.0,10.0,7212.0,6276.0,1766.0,3236.0,2186.0
2015.0,6105.0,30.0,39.0,13.0,111.0,10.0,7036.0,6106.0,1765.0,3198.0,2244.0
2016.0,6105.0,31.0,38.0,13.0,114.0,10.0,7689.0,6355.0,1775.0,3214.0,2199.0
2017.0,6105.0,30.0,38.0,13.0,108.0,10.0,7628.0,6396.0,1650.0,3199.0,2221.0
2018.0,6105.0,30.0,38.0,13.0,109.0,10.0,7812.0,6360.0,1680.0,3193.0,2332.0
2019.0,6105.0,30.0,38.0,13.0,107.0,10.0,7314.0,6233.0,1633.0,3217.0,2441.0
2020.0,6105.0,30.0,37.0,13.0,103.0,10.0,7027.0,6046.0,1629.0,3222.0,2516.0
2021.0,6105.0,30.0,37.0,13.0,106.0,10.0,7407.0,6178.0,1554.0,3247.0,2525.0
2022.0,6105.0,30.0,37.0,13.0,104.0,10.0,7212.0,6270.0,1600.0,3221.0,2413.0
2023.0,6105.0,30.0,37.0,13.0,104.0,10.0,7100.0,6302.0,1485.0,3243.0,2448.0
2011.0,6112.0,20.0,27.0,15.0,83.0,6.0,7169.0,6535.0,1981.0,4229.0,3059.0
2012.0,6112.0,20.0,27.0,15.0,84.0,6.0,7393.0,6443.0,1937.0,4262.0,3203.0
2013.0,6112.0,20.0,26.0,14.0,83.0,6.0,7055.0,6319.0,1953.0,4296.0,3073.0
2014.0,6112.0,20.0,26.0,13.0,81.0,6.0,7294.0,6591.0,1982.0,4212.0,3018.0
2015.0,6112.0,20.0,26.0,13.0,81.0,6.0,7223.0,6250.0,2032.0,4160.0,3107.0
2016.0,6112.0,20.0,26.0,13.0,82.0,7.0,7466.0,6582.0,2010.0,4086.0,3121.0
2017.0,6112.0,20.0,25.0,13.0,78.0,7.0,7747.0,6741.0,1996.0,4050.0,3206.0
2018.0,6112.0,21.0,24.0,13.0,79.0,7.0,7833.0,6817.0,2057.0,4025.0,3263.0
2019.0,6112.0,19.0,23.0,13.0,75.0,8.0,7855.0,6932.0,2035.0,4013.0,3275.0
2020.0,6112.0,18.0,23.0,13.0,70.0,7.0,7461.0,6451.0,1992.0,4016.0,3315.0
2021.0,6112.0,18.0,23.0,13.0,71.0,8.0,8007.0,6877.0,1925.0,3980.0,3363.0
2022.0,6112.0,18.0,22.0,13.0,70.0,8.0,8224.0,6123.0,1924.0,3947.0,3262.0
2023.0,6112.0,18.0,22.0,13.0,70.0,7.0,7754.0,6630.0,1806.0,3906.0,3244.0
2011.0,6119.0,19.0,21.0,15.0,66.0,7.0,5195.0,4859.0,1564.0,3397.0,2029.0
2012.0,6119.0,20.0,21.0,11.0,63.0,8.0,5374.0,4953.0,1568.0,3539.0,2042.0
2013.0,6119.0,19.0,22.0,11.0,66.0,8.0,5725.0,5254.0,1573.0,3672.0,2115.0
2014.0,6119.0,19.0,22.0,11.0,66.0,8.0,5724.0,5330.0,1678.0,3703.0,2222.0
