anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2016,06119,Brandsen,20,22,12,69,9,6155,5646,1753,3855,2350
2017,06119,Brandsen,20,22,12,66,9,6315,5777,1723,3889,2407
2018,06119,Brandsen,20,22,13,66,10,6548,5900,1792,3952,2552
2019,06119,Brandsen,20,22,13,68,10,7006,6300,1835,3979,2725
2020,06119,Brandsen,20,22,14,66,10,6980,6133,1826,4078,2834
2021,06119,Brandsen,20,22,14,68,10,7171,6118,1698,4102,3042
2022,06119,Brandsen,20,22,14,68,10,7188,6250,1648,4092,3105
2023,06119,Brandsen,20,22,14,68,10,7187,6068,1537,3925,3088
2011,06126,Campana,39,39,37,127,36,17459,17068,5305,11461,8117
2012,06126,Campana,38,40,39,129,39,17404,17438,5331,11655,8525
2013,06126,Campana,39,40,36,126,42,17438,16977,5389,11668,8620
2014,06126,Campana,39,40,36,125,42,17866,17425,5491,11572,8897
2015,06126,Campana,43,42,37,127,49,18060,17988,5739,11733,9131
2016,06126,Campana,42,42,37,130,48,18392,18550,5752,11780,9348
2017,06126,Campana,43,42,37,126,49,18331,18367,5775,11874,9343
2018,06126,Campana,43,42,37,126,49,19684,19863,5833,11986,9805
2019,06126,Campana,43,43,37,128,50,22333,20693,5890,12069,10193
2020,06126,Campana,41,42,37,124,47,20547,20312,5694,12225,10345
2021,06126,Campana,41,42,37,125,47,20528,19720,5244,12165,10537
2022,06126,Campana,40,42,37,127,45,20444,19471,5210,11996,10564
2023,06126,Campana,40,42,36,127,45,21026,19896,4908,11766,10463
2011,06134,Cañuelas,22,37,25,90,19,9888,9291,2752,7035,4824
2012,06134,Cañuelas,23,37,25,91,19,9986,9396,2891,7010,4921
2013,06134,Cañuelas,23,37,25,92,18,9985,9857,2980,7261,5179
2014,06134,Cañuelas,25,37,25,95,18,10162,9915,3027,7489,5183
2015,06134,Cañuelas,28,38,25,95,21,10570,10271,3309,7762,5371
2016,06134,Cañuelas,28,38,26,98,20,11013,10540,3194,8080,5759
2017,06134,Cañuelas,27,38,27,96,20,11554,10845,3246,8248,6057
2018,06134,Cañuelas,27,38,27,93,20,11331,11031,3253,8527,6256
2019,06134,Cañuelas,28,38,27,95,20,11558,11215,3364,8648,6386
