anio,municipio_id,municipio_nombre,promocion_efectiva_primaria,promocion_efectiva_secundaria,repitencia_primaria,repitencia_secundaria,reinscripcion_primaria,reinscripcion_secundaria,abandono_interanual_primaria,abandono_interanual_secundaria,alumnos_promovidos_primaria,alumnos_promovidos_secundaria,alumnos_no_promovidos_primaria,alumnos_no_promovidos_secundaria,salidos_sin_pase_primaria,salidos_sin_pase_secundaria,salidos_con_pase_primaria,salidos_con_pase_secundaria,sobreedad_primaria,sobreedad_secundaria,sobreedad_avanzada_primaria,sobreedad_avanzada_secundaria
2018,06434,Lanús,95.88,85.03,3.38,10.80,0.06,1.89,0.67,2.28,97.71,82.73,2.29,17.27,0.15,1.57,3.64,3.63,7.59,30.98,1.63,13.17
2019,06434,Lanús,96.11,84.71,3.33,10.16,0.10,1.48,0.45,3.65,97.76,84.59,2.24,15.41,0.11,1.04,3.65,3.14,7.20,29.83,1.45,13.18
2020,06434,Lanús,99.10,99.19,0.05,0.04,0.11,0.44,0.74,0.34,100.00,99.20,0.00,0.80,0.07,0.09,3.15,3.25,6.03,25.86,1.12,10.82
2021,06434,Lanús,95.50,92.78,2.95,4.96,0.22,0.15,1.32,2.10,97.67,92.83,2.33,7.17,0.05,0.21,0.85,1.26,5.28,26.42,1.06,10.75
2022,06434,Lanús,96.38,90.42,2.59,5.60,0.17,0.89,0.86,3.10,97.94,89.69,2.06,10.31,0.02,0.27,3.30,2.04,6.19,22.85,1.12,8.34
2012,06448,Laprida,97.23,73.56,2.51,15.28,0.00,2.94,0.26,8.23,97.46,71.48,2.54,28.52,0.17,7.41,4.16,4.62,8.57,31.64,1.47,13.42
2013,06448,Laprida,98.87,72.69,0.79,18.17,0.09,0.50,0.26,8.63,99.13,78.23,0.87,21.77,0.33,8.44,4.98,8.43,8.99,33.33,1.40,10.94
2014,06448,Laprida,97.96,72.91,1.51,16.68,0.27,0.99,0.27,9.42,98.65,75.79,1.35,24.21,0.26,6.60,5.28,3.78,6.46,35.07,0.80,12.91
2015,06448,Laprida,96.10,71.63,3.01,16.01,0.53,1.48,0.35,10.88,97.49,74.14,2.51,25.86,0.09,7.19,5.36,7.35,5.76,36.03,0.27,14.36
2016,06448,Laprida,95.17,74.66,2.77,14.24,0.18,3.54,1.88,7.56,97.86,81.44,2.14,18.56,0.00,11.05,4.44,6.43,6.88,35.63,0.54,15.96
2017,06448,Laprida,97.56,79.66,2.80,13.76,0.18,4.79,-0.54,1.79,97.31,82.28,2.69,17.72,0.17,8.24,2.95,2.02,6.24,31.11,0.72,15.65
2018,06448,Laprida,97.96,81.24,2.83,13.97,0.00,4.11,-0.80,0.67,97.80,81.86,2.20,18.14,0.00,8.79,3.21,2.52,5.66,32.98,0.71,15.71
2019,06448,Laprida,96.44,84.00,3.04,9.34,0.00,0.74,0.52,5.92,96.85,86.64,3.15,13.36,0.08,8.56,4.53,3.64,6.50,30.67,1.13,15.38
2020,06448,Laprida,98.64,88.44,0.09,0.16,0.00,0.08,1.28,11.32,99.23,98.91,0.77,1.09,0.00,0.11,3.70,3.92,6.64,31.75,1.11,16.63
2021,06448,Laprida,96.02,87.82,3.72,7.20,0.00,0.27,0.27,4.71,97.54,91.40,2.46,8.60,0.00,2.26,1.60,0.65,4.87,26.58,0.88,11.56
2022,06448,Laprida,97.56,87.15,2.18,5.24,0.00,0.09,0.26,7.52,97.74,89.92,2.26,10.08,0.00,4.48,2.51,2.53,5.23,23.69,0.70,9.00
2012,06455,Las Flores,96.41,74.09,1.63,13.72,0.24,2.69,1.71,9.50,98.08,77.95,1.92,22.05,0.12,2.33,2.45,2.06,10.80,35.45,1.67,14.87
2013,06455,Las Flores,98.10,76.64,1.37,15.09,0.00,0.00,0.54,8.27,98.50,72.70,1.50,27.30,0.08,3.14,4.08,4.61,10.10,35.01,1.61,14.39
2014,06455,Las Flores,98.64,77.72,1.78,13.79,0.00,0.82,-0.41,7.67,98.72,75.66,1.28,24.34,0.16,1.16,3.35,2.21,8.88,35.15,1.74,16.68
2015,06455,Las Flores,95.09,79.41,3.89,13.73,0.00,0.75,1.01,6.12,98.82,77.19,1.18,22.81,0.12,1.20,2.65,3.87,7.14,34.59,1.22,16.06
2016,06455,Las Flores,94.89,78.16,3.22,14.75,0.00,2.29,1.89,4.80,97.89,67.15,2.11,32.85,0.20,0.94,3.10,1.75,7.88,35.58,1.29,17.31
2017,06455,Las Flores,93.62,78.21,5.84,15.12,0.58,1.44,-0.04,5.23,97.15,75.30,2.85,24.70,0.04,1.46,2.94,4.87,6.61,36.41,0.62,18.95
2018,06455,Las Flores,93.13,82.91,5.27,11.65,0.04,2.24,1.55,3.21,98.55,83.22,1.45,16.78,0.00,2.35,2.30,4.85,8.71,27.64,0.98,13.46
2019,06455,Las Flores,96.31,80.48,2.66,14.74,0.12,1.29,0.90,3.49,99.09,83.44,0.91,16.56,0.24,0.04,3.36,3.38,7.70,32.85,0.70,15.86
2020,06455,Las Flores,99.30,97.20,0.21,0.28,0.12,0.00,0.37,2.51,100.00,98.60,0.00,1.40,0.00,0.41,2.83,1.95,7.63,25.69,0.66,12.97
2021,06455,Las Flores,96.30,87.51,2.47,7.97,0.04,0.04,1.19,4.48,99.04,88.23,0.96,11.77,0.00,0.24,1.19,1.28,5.72,25.77,0.41,9.71
2022,06455,Las Flores,95.75,86.45,3.07,9.45,0.04,0.52,1.14,3.58,98.22,80.40,1.78,19.60,0.00,0.36,2.12,1.82,4.34,20.75,0.29,7.00
2012,06462,Leandro N. Alem,95.23,72.03,3.58,14.20,0.62,0.12,0.57,13.65,99.16,79.64,0.84,20.36,0.00,5.07,4.06,5.42,11.46,31.20,1.92,13.89
2013,06462,Leandro N. Alem,98.00,78.05,1.94,12.78,0.05,0.12,0.00,9.04,99.53,77.76,0.47,22.24,0.05,4.80,4.95,7.72,10.56,28.99,1.79,11.72
2014,06462,Leandro N. Alem,94.24,76.81,3.42,14.72,0.32,0.43,2.03,8.04,99.51,79.26,0.49,20.74,0.51,5.25,6.50,5.70,7.36,29.93,0.96,10.82
2015,06462,Leandro N. Alem,94.56,75.63,3.29,13.59,0.22,0.86,1.92,9.92,99.61,79.55,0.39,20.45,0.26,7.88,5.54,7.44,7.36,30.92,1.04,13.04
2016,06462,Leandro N. Alem,97.05,77.77,1.93,12.75,0.80,0.43,0.23,9.05,98.86,78.99,1.14,21.01,0.00,4.66,4.62,5.81,6.25,26.91,0.34,9.48
2017,06462,Leandro N. Alem,95.85,79.90,2.98,15.54,0.00,0.12,1.17,4.44,98.33,82.36,1.67,17.64,0.11,2.35,6.84,4.90,3.21,25.03,0.64,8.57
2018,06462,Leandro N. Alem,100.24,84.89,0.77,10.69,0.00,0.66,-1.00,3.76,99.46,84.87,0.54,15.13,0.00,3.11,6.62,6.24,5.13,26.12,0.83,10.61
2019,06462,Leandro N. Alem,96.89,84.69,1.73,10.11,0.00,0.53,1.38,4.67,99.71,86.24,0.29,13.76,0.00,2.38,5.46,5.34,3.28,25.47,0.63,10.17
2020,06462,Leandro N. Alem,100.18,99.59,0.29,0.06,0.00,0.24,-0.47,0.12,100.00,96.32,0.00,3.68,0.00,0.93,5.36,3.97,3.57,23.54,0.70,9.48
2021,06462,Leandro N. Alem,97.96,85.36,1.02,9.76,0.06,0.45,0.96,4.43,99.88,86.96,0.12,13.04,0.00,1.53,1.61,2.90,1.98,21.85,0.24,7.89
2022,06462,Leandro N. Alem,98.06,85.66,1.03,7.02,0.00,0.00,0.91,7.31,99.09,87.62,0.91,12.38,0.00,4.52,3.57,4.98,1.33,17.67,0.24,4.80
2012,06466,Lezama,96.30,90.56,0.37,3.50,0.00,0.17,3.33,5.77,99.81,88.24,0.19,11.76,0.18,0.16,1.09,0.32,4.44,23.43,0.92,11.01
2013,06466,Lezama,99.25,89.98,1.50,3.40,0.37,3.21,-1.12,3.40,100.00,91.88,0.00,8.12,0.00,1.10,5.59,10.37,3.55,42.34,0.19,9.64
2014,06466,Lezama,99.62,91.17,0.38,3.01,0.00,3.01,0.00,2.82,100.00,87.84,0.00,12.16,0.37,1.25,4.01,4.21,2.48,25.56,0.19,9.40
2015,06466,Lezama,96.35,90.11,0.96,8.56,0.00,0.00,2.69,1.33,99.22,83.62,0.78,16.38,0.00,0.00,3.14,6.08,2.69,17.32,0.00,6.89
2016,06466,Lezama,97.60,79.00,1.40,17.84,0.00,0.00,1.00,3.16,99.40,79.73,0.60,20.27,1.15,0.00,5.52,2.63,2.20,29.37,0.20,11.90
2017,06466,Lezama,97.79,89.33,2.41,3.75,0.20,3.56,-0.40,3.37,99.40,91.59,0.60,8.41,0.19,3.32,3.44,4.69,1.81,28.28,0.40,12.55
2018,06466,Lezama,95.40,95.00,1.20,3.08,0.40,0.00,3.00,1.92,99.80,90.27,0.20,9.73,0.39,0.88,3.44,2.40,2.38,20.19,0.40,6.73
2019,06466,Lezama,101.46,88.10,0.42,7.69,0.00,0.00,-1.88,4.21,99.59,88.38,0.41,11.62,0.00,0.72,4.83,6.87,1.46,16.30,0.00,5.86
2020,06466,Lezama,98.44,100.18,1.17,0.00,0.00,0.00,0.39,-0.18,100.00,100.00,0.00,0.00,0.00,0.00,2.58,2.33,0.39,15.26,0.00,4.78
2021,06466,Lezama,99.04,92.29,1.15,0.90,0.00,0.00,-0.19,6.81,99.25,94.46,0.75,5.54,0.00,2.99,1.16,0.91,1.34,21.86,0.00,7.17
2022,06466,Lezama,97.92,90.23,0.00,4.70,0.00,0.00,2.08,5.08,100.00,92.95,0.00,7.05,0.00,1.85,2.03,1.76,1.32,21.43,0.00,3.38
2012,06469,Lincoln,95.41,83.22,3.54,8.43,0.00,2.49,1.04,5.86,98.66,84.78,1.34,15.22,0.15,1.17,2.74,4.73,10.86,33.74,2.15,14.35
2013,06469,Lincoln,95.03,84.58,3.06,9.98,0.00,3.28,1.91,2.16,99.34,82.67,0.66,17.33,0.07,0.46,4.48,5.46,8.94,27.72,1.77,10.37
2014,06469,Lincoln,96.26,83.53,3.41,10.20,0.00,2.94,0.33,3.33,98.77,82.82,1.23,17.18,0.07,1.19,5.09,4.60,7.25,31.04,1.12,10.43
2015,06469,Lincoln,97.37,83.66,2.40,8.91,0.00,4.33,0.23,3.10,98.73,84.48,1.27,15.52,0.07,0.85,3.87,3.19,6.57,27.38,0.86,9.34
2016,06469,Lincoln,96.43,77.89,2.83,12.91,0.00,1.56,0.74,7.64,98.57,80.92,1.43,19.08,0.07,0.69,3.79,4.80,5.75,24.53,0.84,8.31
2017,06469,Lincoln,95.02,80.99,3.96,11.87,0.02,4.77,0.99,2.37,98.66,80.04,1.34,19.96,0.16,1.17,3.84,5.43,4.87,26.97,0.61,9.55
2018,06469,Lincoln,96.52,84.70,2.80,12.10,0.14,0.53,0.53,2.67,98.73,87.07,1.27,12.93,0.00,1.12,3.77,5.43,5.84,25.43,0.51,10.55
2019,06469,Lincoln,95.27,91.30,3.43,4.55,0.12,2.53,1.18,1.61,99.08,89.77,0.92,10.23,0.00,1.24,4.66,4.26,5.90,23.72,0.77,10.12
2020,06469,Lincoln,99.32,99.11,0.22,0.00,0.00,0.00,0.46,0.89,99.95,97.10,0.05,2.90,0.07,0.19,2.04,5.16,4.72,22.97,0.58,10.17
2021,06469,Lincoln,95.33,91.52,2.98,5.04,0.61,0.54,1.09,2.90,99.08,92.32,0.92,7.68,0.00,0.77,1.66,1.67,3.97,17.72,0.29,7.09
2022,06469,Lincoln,97.54,87.42,1.67,6.82,0.69,0.58,0.10,5.19,98.40,87.93,1.60,12.07,0.10,0.94,2.39,2.77,4.01,15.13,0.52,5.57
2012,06476,Lobería,96.78,84.09,2.74,11.09,0.48,2.18,0.00,2.64,98.70,84.41,1.30,15.59,0.00,1.05,2.82,3.78,10.36,28.83,1.93,11.89
2013,06476,Lobería,98.56,82.17,1.22,10.51,0.28,3.09,-0.06,4.23,99.40,80.29,0.60,19.71,0.00,1.55,3.04,2.77,9.57,30.08,1.22,12.47
2014,06476,Lobería,98.42,83.70,0.84,10.65,0.00,3.75,0.73,1.90,98.69,81.57,1.31,18.43,0.11,0.32,1.77,2.41,8.00,28.30,0.84,10.16
2015,06476,Lobería,99.19,81.18,0.52,12.44,0.00,1.58,0.29,4.80,99.14,81.07,0.86,18.93,0.00,0.47,3.62,2.04,5.87,31.47,0.75,13.97
2016,06476,Lobería,95.81,85.19,2.54,13.06,0.06,4.12,1.59,-2.38,97.68,83.72,2.32,16.28,0.06,0.37,3.80,3.35,4.37,32.15,0.47,13.96
2017,06476,Lobería,98.49,80.20,2.41,14.17,0.18,0.21,-1.08,5.42,98.26,81.13,1.74,18.87,0.06,0.15,4.05,2.29,6.85,29.86,0.60,13.13
2018,06476,Lobería,94.64,80.48,2.77,12.91,0.24,1.64,2.35,4.97,98.96,82.16,1.04,17.84,0.00,0.54,3.24,4.14,6.93,26.92,0.48,10.40
2019,06476,Lobería,97.93,89.78,1.64,11.72,0.06,2.39,0.36,-3.89,99.39,87.14,0.61,12.86,0.00,1.20,4.51,1.77,7.48,26.61,0.67,12.06
2020,06476,Lobería,100.06,96.70,0.06,0.11,0.31,0.05,-0.43,3.14,99.82,97.63,0.18,2.37,0.00,0.11,4.38,3.34,5.25,26.98,0.25,14.21
2021,06476,Lobería,96.86,91.52,1.54,4.79,0.43,1.49,1.17,2.20,99.31,89.39,0.69,10.61,0.06,0.43,0.43,0.60,3.63,20.99,0.49,10.08
2022,06476,Lobería,97.26,85.93,1.09,7.47,0.18,2.42,1.46,4.18,98.58,80.92,1.42,19.08,0.06,0.00,2.20,3.45,2.25,22.80,0.12,8.96
2012,06483,Lobos,95.59,74.47,4.60,11.84,0.00,0.69,-0.19,12.99,95.11,81.47,4.89,18.53,0.23,4.87,3.54,5.96,17.06,37.16,4.29,15.98
2013,06483,Lobos,96.52,78.75,2.83,12.73,0.05,1.13,0.60,7.38,96.76,79.77,3.24,20.23,0.28,5.02,4.06,6.28,18.15,35.64,4.39,14.99
2014,06483,Lobos,96.05,83.21,3.11,8.29,0.02,0.69,0.81,7.81,96.32,86.76,3.68,13.24,0.21,5.94,4.12,3.73,12.96,36.26,3.67,15.46
2015,06483,Lobos,94.54,84.44,4.01,9.48,0.10,0.65,1.36,5.43,96.25,85.71,3.75,14.29,0.19,3.79,4.06,3.18,12.38,33.28,3.51,13.94
2016,06483,Lobos,93.60,81.61,5.61,11.99,0.00,3.17,0.79,3.22,95.85,83.27,4.15,16.73,0.05,3.48,3.94,2.98,11.20,33.66,2.46,13.80
2017,06483,Lobos,95.95,83.12,3.10,13.20,0.19,0.64,0.76,3.04,96.45,80.86,3.55,19.14,0.25,2.25,3.49,3.40,12.40,33.01,3.22,13.12
2018,06483,Lobos,95.40,80.06,3.80,14.77,0.14,0.32,0.66,4.85,97.64,83.33,2.36,16.67,0.02,1.02,4.15,3.70,10.96,35.92,2.66,16.14
2019,06483,Lobos,95.16,84.06,2.84,11.35,0.00,0.21,2.00,4.38,97.91,86.17,2.09,13.83,0.12,0.78,3.96,3.03,9.26,34.27,2.05,16.15
2020,06483,Lobos,101.13,100.38,0.22,0.00,0.05,0.05,-1.40,-0.43,100.00,99.74,0.00,0.26,0.02,0.33,3.59,3.38,7.22,30.12,1.18,13.58
2021,06483,Lobos,96.98,81.87,2.58,11.13,0.02,0.10,0.41,6.90,98.88,93.55,1.12,6.45,0.00,0.38,0.86,1.02,5.57,27.64,1.21,10.60
2022,06483,Lobos,98.49,87.12,1.01,8.66,0.10,0.12,0.39,4.10,98.93,88.33,1.07,11.67,0.00,0.40,4.32,2.43,5.60,27.76,0.77,11.53
2012,06490,Lomas de Zamora,96.88,80.59,2.14,8.85,0.22,1.13,0.77,9.43,97.95,78.69,2.05,21.31,0.27,1.65,4.05,4.53,14.36,39.24,4.17,17.12
2013,06490,Lomas de Zamora,97.97,81.95,1.04,9.20,0.08,1.45,0.91,7.40,99.15,79.68,0.85,20.32,0.39,1.27,3.58,4.39,12.51,34.41,3.47,15.35
2014,06490,Lomas de Zamora,97.31,83.44,1.16,7.72,0.13,1.08,1.40,7.75,99.08,81.31,0.92,18.69,0.34,0.98,3.78,4.78,9.85,33.08,2.51,13.89
2015,06490,Lomas de Zamora,97.75,85.62,1.38,7.31,0.10,1.49,0.78,5.58,98.75,81.78,1.25,18.22,0.28,1.11,3.17,4.30,7.87,35.18,1.85,14.86
2016,06490,Lomas de Zamora,96.25,83.30,2.45,9.74,0.19,1.31,1.11,5.64,98.22,81.42,1.78,18.58,0.28,0.77,3.00,3.47,6.79,30.75,1.44,12.46
2017,06490,Lomas de Zamora,95.69,81.66,2.91,10.46,0.19,1.71,1.21,6.17,97.78,81.10,2.22,18.90,0.25,0.65,2.79,3.81,5.75,31.03,1.15,12.02
2018,06490,Lomas de Zamora,95.75,85.62,2.67,9.14,0.06,1.28,1.52,3.96,98.29,82.85,1.71,17.15,0.16,0.44,3.20,4.10,5.72,28.86,1.13,11.22
2019,06490,Lomas de Zamora,96.43,86.66,2.34,8.83,0.11,1.03,1.12,3.48,98.49,84.09,1.51,15.91,0.13,0.46,2.92,3.06,5.29,27.27,1.09,10.56
2020,06490,Lomas de Zamora,98.78,99.60,0.04,0.05,0.03,0.21,1.15,0.15,100.00,97.64,0.00,2.36,0.08,0.07,2.88,3.33,4.67,26.59,0.95,9.69
2021,06490,Lomas de Zamora,96.79,91.55,1.95,5.33,0.21,0.43,1.05,2.69,98.88,90.63,1.12,9.37,0.08,0.11,2.02,1.32,3.40,22.87,0.73,8.43
2022,06490,Lomas de Zamora,97.90,90.62,1.69,6.01,0.08,0.68,0.33,2.69,98.61,87.36,1.39,12.64,0.04,0.12,2.71,2.29,3.93,20.12,0.70,6.85
2012,06497,Luján,98.46,78.62,1.63,11.50,0.10,1.75,-0.19,8.12,98.58,79.19,1.42,20.81,0.18,2.35,4.10,4.19,12.05,37.00,3.12,16.60
2013,06497,Luján,97.98,83.88,1.65,8.61,0.02,0.28,0.35,7.22,98.20,82.39,1.80,17.61,0.33,2.61,3.96,4.01,10.02,33.01,2.66,15.30
2014,06497,Luján,98.60,84.84,1.64,7.75,0.07,0.69,-0.31,6.71,98.61,85.25,1.39,14.75,0.19,1.47,3.64,3.82,8.75,28.59,2.04,12.43
2015,06497,Luján,98.33,85.51,2.18,9.36,0.01,0.45,-0.52,4.68,97.96,83.19,2.04,16.81,0.14,1.14,3.53,2.35,7.72,27.78,1.72,10.88
2016,06497,Luján,95.45,86.48,4.45,9.33,0.09,1.38,0.01,2.82,95.81,83.94,4.19,16.06,0.32,1.19,2.61,2.97,7.34,27.40,1.55,11.35
2017,06497,Luján,95.72,84.87,4.19,9.69,0.00,1.02,0.08,4.42,97.19,88.22,2.81,11.78,0.19,1.01,3.89,3.21,7.90,26.97,2.16,10.49
2018,06497,Luján,96.90,87.18,3.57,8.56,0.02,0.63,-0.48,3.63,97.99,89.86,2.01,10.14,0.10,0.58,3.79,3.72,8.52,25.54,2.15,9.57
2019,06497,Luján,97.64,88.96,2.44,7.15,0.46,0.54,-0.54,3.35,98.25,86.95,1.75,13.05,0.12,1.16,3.13,3.59,8.27,22.93,2.00,9.29
2020,06497,Luján,100.37,101.01,0.21,0.10,0.20,0.02,-0.78,-1.13,100.00,98.59,0.00,1.41,0.02,0.18,3.08,2.89,5.93,20.72,1.28,7.20
2021,06497,Luján,97.13,95.03,2.74,3.59,0.17,0.12,-0.05,1.25,97.86,94.74,2.14,5.26,0.01,0.15,1.36,0.69,4.40,23.07,1.04,6.44
2022,06497,Luján,96.72,89.89,3.10,4.94,0.16,0.96,0.02,4.21,97.38,92.56,2.62,7.44,0.02,0.40,2.85,2.99,5.56,18.28,1.35,5.20
2012,06505,Magdalena,95.77,80.03,3.92,9.30,0.05,1.07,0.25,9.60,97.72,90.44,2.28,9.56,0.10,1.36,5.37,5.42,8.20,32.16,1.96,12.30
2013,06505,Magdalena,98.33,79.10,1.38,12.81,0.10,5.31,0.20,2.78,99.15,85.89,0.85,14.11,0.05,1.81,3.63,2.82,7.39,33.90,1.87,12.47
2014,06505,Magdalena,97.30,84.52,3.13,7.99,0.05,0.30,-0.48,7.20,98.94,96.84,1.06,3.16,0.00,0.34,4.95,4.99,5.54,36.74,1.54,12.76
2015,06505,Magdalena,95.96,86.41,2.54,7.61,0.00,1.25,1.50,4.73,98.13,87.89,1.87,12.11,0.41,1.67,3.21,5.70,6.44,24.17,1.36,9.60
2016,06505,Magdalena,95.87,87.95,4.74,7.73,0.05,0.36,-0.66,3.96,96.40,83.03,3.60,16.97,0.09,0.47,4.20,3.02,5.21,26.47,0.70,9.37
2017,06505,Magdalena,96.62,79.29,4.24,10.42,0.00,1.09,-0.86,9.20,97.09,87.87,2.91,12.13,0.04,0.79,4.04,3.61,7.26,25.53,1.08,7.36
2018,06505,Magdalena,94.67,82.59,6.55,9.80,0.26,0.75,-1.47,6.86,96.50,85.77,3.50,14.23,0.00,0.78,6.18,4.76,8.89,20.84,1.17,7.38
2019,06505,Magdalena,93.92,86.25,5.57,10.28,0.34,3.99,0.17,-0.52,96.72,93.15,3.28,6.85,0.12,1.17,3.51,5.20,9.14,26.55,1.59,9.66
2020,06505,Magdalena,102.88,97.66,0.29,0.00,0.37,0.04,-3.54,2.30,99.26,99.51,0.74,0.49,0.04,0.20,4.10,4.07,11.33,24.35,1.28,7.15
2021,06505,Magdalena,92.40,78.36,6.30,10.84,0.47,0.11,0.83,10.69,98.32,96.71,1.68,3.29,0.04,0.00,2.17,1.70,7.25,20.42,0.95,4.85
2022,06505,Magdalena,96.58,93.80,3.85,4.61,0.00,0.04,-0.43,1.55,97.56,93.93,2.44,6.07,0.00,0.15,2.06,2.42,6.87,20.25,0.51,5.96
2012,06511,Maipú,96.55,81.48,2.09,11.70,2.63,2.84,-1.27,3.98,96.50,86.54,3.50,13.46,0.35,1.90,4.09,5.60,10.06,33.86,1.63,15.23
2013,06511,Maipú,98.14,85.04,1.02,8.30,0.00,0.33,0.84,6.33,98.97,82.61,1.03,17.39,0.00,1.90,3.37,5.03,9.39,29.59,1.58,12.88
2014,06511,Maipú,96.18,84.92,2.05,6.12,0.28,0.22,1.49,8.74,97.81,87.66,2.19,12.34,0.00,2.03,4.56,5.07,6.42,28.63,1.21,10.38
2015,06511,Maipú,98.08,88.55,2.79,4.74,0.19,0.77,-1.06,5.95,96.96,90.87,3.04,9.13,0.27,0.33,6.41,6.00,8.84,22.80,0.96,8.04
2016,06511,Maipú,96.07,86.90,2.88,8.62,0.38,0.22,0.67,4.26,97.27,86.87,2.73,13.13,0.19,1.04,3.29,4.88,9.20,21.18,1.73,7.21
2017,06511,Maipú,96.47,79.83,3.82,14.54,0.69,3.18,-0.98,2.44,96.71,94.38,3.29,5.62,0.00,0.42,2.66,4.25,4.43,22.19,0.39,6.58
2018,06511,Maipú,94.07,90.42,5.25,7.00,1.17,0.21,-0.49,2.37,96.40,95.29,3.60,4.71,0.09,0.94,3.65,2.42,7.37,22.71,1.16,6.83
2019,06511,Maipú,92.69,91.97,4.74,8.14,0.28,0.00,2.28,-0.11,98.54,95.38,1.46,4.62,0.00,0.51,2.92,3.96,8.06,17.77,0.95,3.53
2020,06511,Maipú,99.06,100.62,0.94,0.10,0.00,0.00,0.00,-0.72,100.00,100.00,0.00,0.00,0.00,0.00,4.48,2.64,5.53,12.16,0.28,4.02
2021,06511,Maipú,92.29,94.75,5.42,1.72,0.00,0.20,2.30,3.33,97.15,99.18,2.85,0.82,0.00,0.30,0.46,0.30,5.05,14.14,0.46,2.83
2022,06511,Maipú,98.35,95.89,1.56,2.01,0.00,0.50,0.09,1.60,98.99,98.48,1.01,1.52,0.18,0.10,2.24,2.78,6.78,9.53,0.27,1.30
2012,06515,Malvinas Argentinas,95.61,78.85,2.61,11.55,0.44,1.93,1.35,7.66,97.44,78.43,2.56,21.57,0.42,0.88,3.71,3.01,12.72,40.17,3.34,16.83
2013,06515,Malvinas Argentinas,97.48,80.38,1.80,10.22,0.15,2.47,0.57,6.93,98.20,79.77,1.80,20.23,0.52,1.03,3.63,4.05,10.75,37.82,2.75,15.96
2014,06515,Malvinas Argentinas,97.39,80.67,1.93,10.82,0.20,2.12,0.48,6.39,98.07,78.49,1.93,21.51,0.37,0.51,3.26,3.45,9.37,35.41,2.20,14.53
2015,06515,Malvinas Argentinas,97.61,81.62,2.11,10.40,0.25,1.97,0.04,6.01,97.75,77.50,2.25,22.50,0.30,0.53,3.02,4.19,8.07,34.62,1.80,14.47
2016,06515,Malvinas Argentinas,94.75,80.32,4.42,11.83,0.35,2.63,0.49,5.23,96.60,78.94,3.40,21.06,0.24,0.68,3.01,3.32,8.11,33.93,1.88,13.87
2017,06515,Malvinas Argentinas,95.03,83.90,4.03,11.59,0.05,1.90,0.90,2.62,96.99,81.03,3.01,18.97,0.25,0.58,2.71,2.88,7.33,31.83,1.65,13.01
2018,06515,Malvinas Argentinas,94.35,84.74,4.37,10.50,0.21,1.17,1.08,3.60,97.68,83.17,2.32,16.83,0.19,0.55,3.19,3.05,8.00,32.35,1.90,13.28
2019,06515,Malvinas Argentinas,95.50,86.65,3.24,8.63,0.27,1.68,0.98,3.04,98.11,86.11,1.89,13.89,0.25,0.42,2.86,2.82,7.69,31.16,1.77,12.38
2020,06515,Malvinas Argentinas,99.46,99.52,0.04,0.07,0.13,0.36,0.37,0.06,99.98,97.23,0.02,2.77,0.03,0.11,3.11,2.91,7.15,28.59,1.36,10.13
2021,06515,Malvinas Argentinas,96.06,90.49,2.82,4.86,0.08,0.45,1.05,4.20,98.12,89.58,1.88,10.42,0.03,0.25,1.51,1.16,5.10,24.94,0.95,8.75
2022,06515,Malvinas Argentinas,96.87,88.96,2.69,6.62,0.15,1.49,0.29,2.93,97.65,85.93,2.35,14.07,0.03,0.27,3.17,2.14,5.52,22.29,0.96,6.93
2012,06518,Mar Chiquita,96.24,76.31,3.85,15.22,0.18,2.14,-0.27,6.33,96.71,71.38,3.29,28.62,0.21,1.09,3.82,4.78,14.38,36.01,2.39,15.56
2013,06518,Mar Chiquita,98.26,83.06,3.04,6.83,0.00,2.86,-1.30,7.25,97.26,78.25,2.74,21.75,0.38,3.00,5.73,5.70,14.70,36.27,2.41,17.44
2014,06518,Mar Chiquita,100.44,88.32,2.42,4.57,0.00,1.88,-2.86,5.24,98.93,81.74,1.07,18.26,0.21,1.30,4.28,6.91,12.47,29.47,2.07,10.48
2015,06518,Mar Chiquita,98.28,85.50,2.89,7.70,0.00,2.31,-1.16,4.49,97.84,84.89,2.16,15.11,0.12,0.79,5.68,5.97,9.56,29.66,1.68,9.35
2016,06518,Mar Chiquita,95.51,86.82,4.86,7.87,0.08,4.52,-0.46,0.79,97.14,83.10,2.86,16.90,0.08,1.49,4.05,4.11,9.43,27.23,1.50,9.54
2017,06518,Mar Chiquita,98.04,85.95,5.27,13.12,0.53,4.62,-3.84,-3.69,98.57,86.85,1.43,13.15,0.24,1.09,3.97,3.53,9.40,26.95,1.43,9.52
2018,06518,Mar Chiquita,95.03,85.63,4.70,8.77,0.12,2.02,0.16,3.58,98.01,91.58,1.99,8.42,0.04,0.62,3.58,3.52,7.15,25.19,0.51,7.37
2019,06518,Mar Chiquita,97.39,87.12,3.80,10.19,0.35,0.38,-1.54,2.32,98.62,86.89,1.38,13.11,0.00,0.25,3.28,3.27,6.95,24.38,0.73,7.61
2020,06518,Mar Chiquita,103.02,99.55,0.15,0.16,0.04,0.21,-3.21,0.08,100.00,96.85,0.00,3.15,0.04,0.04,4.09,4.10,4.99,19.88,0.34,5.07
2021,06518,Mar Chiquita,99.45,91.47,2.90,6.13,0.00,0.00,-2.35,2.40,99.22,87.32,0.78,12.68,0.00,0.08,2.04,1.49,3.45,20.40,0.11,3.72
